Start              	End                	Duration	Filename                                                                        	Procnum

File : ./pro_inter_daily_20180507000000.log
2018-05-07 00:05:15	2018-05-07 00:05:20	       5	MSSBHQH01_b01317671-1.dat_DECODED_8670_NET_SMS                                  	462 
2018-05-07 00:05:20	2018-05-07 00:05:24	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127271.dat_DECODED_2748_HW_MSC_SMS_IDD_ROAMIN        	219 
2018-05-07 00:05:24	2018-05-07 00:05:27	       3	MSSBHQH03_2_AP2b00234337-3-02.dat_DECODED_2265_NET_SMS                          	329 
2018-05-07 00:05:27	2018-05-07 00:05:31	       4	AZF_MSSBHQH_2AZFHUA1_b00125482.dat_DECODED_2749_HW_MSC_SMS_IDD_ROAMIN           	258 
2018-05-07 00:05:31	2018-05-07 00:05:36	       5	MSSBTC02_2_AP2b00225658-2-02.dat_DECODED_3456_NET_SMS                           	475 
2018-05-07 00:05:36	2018-05-07 00:05:40	       4	MSSBHQH03_2_AP2b00234338-3-02.dat_DECODED_2266_NET_SMS                          	354 
2018-05-07 00:05:40	2018-05-07 00:05:43	       3	MSSBHQH02_b01302007-2.dat_DECODED_3457_NET_SMS                                  	338 
2018-05-07 00:05:43	2018-05-07 00:05:47	       4	MSSBHQ01_2_AP2b00234172-1-02.dat_DECODED_8673_NET_SMS                           	351 
2018-05-07 00:05:47	2018-05-07 00:05:51	       4	MSSBHQH01_b01317672-1.dat_DECODED_8672_NET_SMS                                  	465 
2018-05-07 00:05:51	2018-05-07 00:05:56	       5	MSSBTC02_2_AP2b00225659-2-02.dat_DECODED_3458_NET_SMS                           	436 
2018-05-07 00:05:56	2018-05-07 00:05:59	       3	AZF_MSSBHQH_3AZFHUA1_b00138769.dat_DECODED_2751_HW_MSC_SMS_IDD_ROAMIN           	248 
2018-05-07 00:05:59	2018-05-07 00:06:04	       5	MSSBHQH01_b01317673-1.dat_DECODED_8674_NET_SMS                                  	449 
2018-05-07 00:06:04	2018-05-07 00:06:07	       3	MSSBHQH02_b01302008-2.dat_DECODED_3459_NET_SMS                                  	331 
2018-05-07 00:06:07	2018-05-07 00:06:11	       4	MSSBHQH03_2_AP2b00234339-3-02.dat_DECODED_2268_NET_SMS                          	339 
2018-05-07 00:06:11	2018-05-07 00:06:14	       3	AZF_MSSBHQH_1AZFHUA1_b00141061.dat_DECODED_2752_HW_MSC_SMS_IDD_ROAMIN           	223 
2018-05-07 00:06:14	2018-05-07 00:06:19	       5	AZF_MSSBHQH_2AZFHUA2_AP2b00127272.dat_DECODED_2754_HW_MSC_SMS_IDD_ROAMIN        	270 
2018-05-07 00:06:19	2018-05-07 00:06:23	       4	AZF_MSSBHQH_2AZFHUA1_b00125483.dat_DECODED_2755_HW_MSC_SMS_IDD_ROAMIN           	256 
2018-05-07 00:06:23	2018-05-07 00:06:27	       4	AZF_MSSBHQH_3AZFHUA2_AP2b00109152.dat_DECODED_2753_HW_MSC_SMS_IDD_ROAMIN        	220 
2018-05-07 00:06:27	2018-05-07 00:06:31	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111829.dat_DECODED_2756_HW_MSC_SMS_IDD_ROAMIN        	273 
2018-05-07 00:06:31	2018-05-07 00:06:35	       4	MSSBHQH03_b01289180-3.dat_DECODED_2267_NET_SMS                                  	434 
2018-05-07 00:06:35	2018-05-07 00:06:39	       4	MSSBHQ01_2_AP2b00234173-1-02.dat_DECODED_8675_NET_SMS                           	359 
2018-05-07 00:06:39	2018-05-07 00:06:43	       4	MSSBTC02_2_AP2b00225660-2-02.dat_DECODED_3460_NET_SMS                           	433 
2018-05-07 00:06:43	2018-05-07 00:06:46	       3	MSSBHQH03_2_AP2b00234340-3-02.dat_DECODED_2270_NET_SMS                          	316 
2018-05-07 00:06:46	2018-05-07 00:06:50	       4	MSSBHQH02_b01302009-2.dat_DECODED_3461_NET_SMS                                  	361 
2018-05-07 00:06:50	2018-05-07 00:06:55	       5	MSSBHQH03_b01289181-3.dat_DECODED_2269_NET_SMS                                  	469 
2018-05-07 00:06:55	2018-05-07 00:06:58	       3	MSSBHQ01_2_AP2b00234174-1-02.dat_DECODED_8677_NET_SMS                           	347 
2018-05-07 00:06:58	2018-05-07 00:07:02	       4	MSSBHQH01_b01317674-1.dat_DECODED_8676_NET_SMS                                  	437 
2018-05-07 00:07:02	2018-05-07 00:07:07	       5	AZF_MSSBHQH_1AZFHUA1_b00141062.dat_DECODED_2758_HW_MSC_SMS_IDD_ROAMIN           	278 
2018-05-07 00:07:07	2018-05-07 00:07:10	       3	AZF_MSSBHQH_3AZFHUA1_b00138770.dat_DECODED_2757_HW_MSC_SMS_IDD_ROAMIN           	213 
2018-05-07 00:07:10	2018-05-07 00:07:15	       5	MSSBTC02_2_AP2b00225661-2-02.dat_DECODED_3462_NET_SMS                           	480 
2018-05-07 00:07:15	2018-05-07 00:07:19	       4	AZF_MSSBHQH_2AZFHUA1_b00125484.dat_DECODED_2761_HW_MSC_SMS_IDD_ROAMIN           	263 
2018-05-07 00:07:19	2018-05-07 00:07:22	       3	MSSBHQH02_b01302010-2.dat_DECODED_3463_NET_SMS                                  	296 
2018-05-07 00:07:22	2018-05-07 00:07:26	       4	AZF_MSSBHQH_3AZFHUA2_AP2b00109153.dat_DECODED_2759_HW_MSC_SMS_IDD_ROAMIN        	260 
2018-05-07 00:07:26	2018-05-07 00:07:30	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127273.dat_DECODED_2760_HW_MSC_SMS_IDD_ROAMIN        	257 
2018-05-07 00:07:30	2018-05-07 00:07:35	       5	MSSBHQH03_b01289182-3.dat_DECODED_2271_NET_SMS                                  	498 
2018-05-07 00:07:35	2018-05-07 00:07:40	       5	MSSBHQH01_b01317675-1.dat_DECODED_8678_NET_SMS                                  	442 
2018-05-07 00:07:40	2018-05-07 00:07:44	       4	MSSBHQH03_b01289183-3.dat_DECODED_2272_NET_SMS                                  	450 
2018-05-07 00:07:44	2018-05-07 00:07:48	       4	MSSBTC02_2_AP2b00225662-2-02.dat_DECODED_3464_NET_SMS                           	419 
2018-05-07 00:07:48	2018-05-07 00:07:52	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111830.dat_DECODED_2762_HW_MSC_SMS_IDD_ROAMIN        	214 
2018-05-07 00:07:52	2018-05-07 00:07:56	       4	MSSBHQ01_2_AP2b00234175-1-02.dat_DECODED_8680_NET_SMS                           	354 
2018-05-07 00:07:56	2018-05-07 00:08:00	       4	AZF_MSSBHQH_3AZFHUA1_b00138771.dat_DECODED_2763_HW_MSC_SMS_IDD_ROAMIN           	237 
2018-05-07 00:08:00	2018-05-07 00:08:03	       3	MSSBHQH02_b01302011-2.dat_DECODED_3465_NET_SMS                                  	325 
2018-05-07 00:08:03	2018-05-07 00:08:07	       4	MSSBHQH01_b01317676-1.dat_DECODED_8679_NET_SMS                                  	398 
2018-05-07 00:08:07	2018-05-07 00:08:35	      28	CSVSM_AZF_vmcazbj12.bakcell.com_20180506173919Z.csv_n2_DECODED_6656_mco_xura_NET	486 
2018-05-07 00:08:35	2018-05-07 00:08:40	       5	AZF_MSSBHQH_2AZFHUA1_b00125485.dat_DECODED_2766_HW_MSC_SMS_IDD_ROAMIN           	295 
2018-05-07 00:08:40	2018-05-07 00:08:44	       4	AZF_MSSBHQH_1AZFHUA1_b00141063.dat_DECODED_2764_HW_MSC_SMS_IDD_ROAMIN           	247 
2018-05-07 00:08:44	2018-05-07 00:08:49	       5	MSSBHQH03_b01289184-3.dat_DECODED_2273_NET_SMS                                  	513 
2018-05-07 00:08:49	2018-05-07 00:08:52	       3	MSSBHQH03_2_AP2b00234341-3-02.dat_DECODED_2274_NET_SMS                          	336 
2018-05-07 00:08:53	2018-05-07 00:08:57	       4	MSSBTC02_2_AP2b00225663-2-02.dat_DECODED_3466_NET_SMS                           	456 
2018-05-07 00:08:57	2018-05-07 00:09:00	       3	AZF_MSSBHQH_3AZFHUA2_AP2b00109154.dat_DECODED_2765_HW_MSC_SMS_IDD_ROAMIN        	205 
2018-05-07 00:09:00	2018-05-07 00:09:05	       5	MSSBHQH03_b01289185-3.dat_DECODED_2275_NET_SMS                                  	480 
2018-05-07 00:09:05	2018-05-07 00:09:08	       3	MSSBHQH02_b01302012-2.dat_DECODED_3467_NET_SMS                                  	351 
2018-05-07 00:09:08	2018-05-07 00:09:12	       4	MSSBHQH02_b01302013-2.dat_DECODED_3468_NET_SMS                                  	376 
2018-05-07 00:09:12	2018-05-07 00:09:16	       4	MSSBHQ01_2_AP2b00234176-1-02.dat_DECODED_8682_NET_SMS                           	357 
2018-05-07 00:09:16	2018-05-07 00:09:21	       5	MSSBHQH01_b01317677-1.dat_DECODED_8681_NET_SMS                                  	473 
2018-05-07 00:09:21	2018-05-07 00:09:24	       3	MSSBHQH03_2_AP2b00234342-3-02.dat_DECODED_2276_NET_SMS                          	342 
2018-05-07 00:09:24	2018-05-07 00:09:28	       4	AZF_MSSBHQH_1AZFHUA1_b00141064.dat_DECODED_2767_HW_MSC_SMS_IDD_ROAMIN           	235 
2018-05-07 00:09:28	2018-05-07 00:09:33	       5	MSSBHQH03_b01289186-3.dat_DECODED_2277_NET_SMS                                  	533 
2018-05-07 00:09:33	2018-05-07 00:09:37	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127274.dat_DECODED_2768_HW_MSC_SMS_IDD_ROAMIN        	258 
2018-05-07 00:09:37	2018-05-07 00:09:49	      12	CSVSM_vmcazbj12.bakcell.com_20180506174852Z.csv_n2_DECODED_6936_mco_xura_NET    	812 
